route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,direction_id,exceptional
L257D99,1,3266,"Boskovice, aut.st.",2,,1,0
L256D99,1,3267,"Kunštát, nám.",2,,0,0
L256D99,1,3268,"Boskovice, 17. listopadu",2,,1,0
L254D99,1,3269,"Letovice, železniční stanice",2,,0,0
L254D99,1,3270,"Boskovice, aut.st.",2,,1,0
L257D99,1,3271,"Hodonín u Kunštátu",2,,0,0
L257D99,1,3272,"Olešnice, nám.",2,,0,0
L256D99,1,3273,"Boskovice, 17. listopadu",2,,1,0
L257D99,1,3274,"Hodonín u Kunštátu",2,,0,0
L252D99,1,3275,"Boskovice, aut.st.",1,,0,0
L250D99,1,3276,"Boskovice, Kosmonautů",1,128,0,0
L250D99,1,3277,"Skalice nad Svitavou, žel.st.",1,128,1,0
L250D99,1,3278,"Boskovice, aut.st.",1,,0,0
L252D99,1,3279,"Boskovice, Sušilova ZŠ II",1,,0,0
L162D99,1,3280,"Černá Hora, nám.",1,,0,0
L162D99,1,3281,"Boskovice, aut.st.",1,,1,0
L162D99,1,3282,"Černá Hora, nám.",1,,0,0
L162D99,1,3283,"Boskovice, aut.st.",1,,1,0
L162D99,1,3284,"Černá Hora, nám.",1,,0,0
L162D99,1,3285,"Boskovice, aut.st.",1,,1,0
L258D99,1,3286,"Obora, Hutě",1,,0,0
L258D99,1,3287,"Skalice nad Svitavou, žel.st.",1,,1,0
L258D99,1,3288,"Obora, Hutě",1,,0,0
L258D99,1,3289,"Skalice nad Svitavou, žel.st.",1,,1,0
L258D99,1,3290,"Obora",1,,0,0
L258D99,1,3291,"Skalice nad Svitavou, žel.st.",1,,1,0
L258D99,1,3292,"Doubravice, žel.st.",1,,0,0
L258D99,1,3293,"Skalice nad Svitavou, žel.st.",1,,1,0
L258D99,1,3294,"Obora",1,,0,0
L258D99,1,3295,"Skalice nad Svitavou, žel.st.",1,,1,0
L250D99,1,3296,"Boskovice, Kosmonautů",1,129,0,0
L250D99,1,3297,"Skalice nad Svitavou, žel.st.",1,129,1,0
L250D99,1,3298,"Boskovice, aut.st.",1,,0,0
L162D99,1,3299,"Černá Hora, nám.",1,,0,0
L162D99,1,3300,"Boskovice, aut.st.",1,,1,0
L250D99,1,3301,"Skalice nad Svitavou, žel.st.",1,130,1,0
L258D99,1,3302,"Obora",1,130,0,0
L258D99,1,3303,"Skalice nad Svitavou, žel.st.",1,131,1,0
L250D99,1,3304,"Boskovice, 17. listopadu",1,131,0,0
L258D99,1,3305,"Boskovice, aut.st.",1,,1,0
L259D99,1,3306,"Újezd u Boskovic",1,,0,0
L259D99,1,3307,"Boskovice, aut.st.",1,,1,0
L259D99,1,3308,"Doubravice, nám.",1,132,0,0
L258D99,1,3309,"Obora",1,132,1,0
L258D99,1,3310,"Doubravice, žel.st.",1,133,0,0
L259D99,1,3311,"Boskovice, aut.st.",1,133,1,0
L259D99,1,3312,"Újezd u Boskovic",1,,0,0
L259D99,1,3313,"Boskovice, aut.st.",1,,1,0
L257D99,1,3314,"Kozárov",1,,0,0
L257D99,1,3315,"Boskovice, aut.st.",1,,1,0
L259D99,1,3316,"Újezd u Boskovic",1,,0,0
L259D99,1,3317,"Boskovice, aut.st.",1,,1,0
